molecule_chembl_id,canonical_smiles,standard_value,curated_smiles,pIC50,inchikey
CHEMBL1253374,CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)OC(C)(C)C,730.0,CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)OC(C)(C)C,6.136677139879544,ZEIXRPVDVMJLIP-ULNSLHSMSA-N
CHEMBL4635941,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4C)nc3)cc1)CC2,740.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4C)nc3)cc1)CC2,6.130768280269024,ZPGLSAALAOSQLL-OQLLNIDSSA-N
CHEMBL2011288,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,745.0,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,6.127843727251707,YOURSKBAKQLDQW-UHFFFAOYSA-N
CHEMBL486336,COc1cccc(CCc2ccccc2OCCN2CCc3cc(OC)c(OC)cc3C2)c1,750.0,COc1cccc(CCc2ccccc2OCCN2CCc3cc(OC)c(OC)cc3C2)c1,6.1249387366083,FOYIKIOMXHXEQA-UHFFFAOYSA-N
CHEMBL4646045,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4cccc(-c5ccccn5)c4)nc3)cc1)CC2,750.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4cccc(-c5ccccn5)c4)nc3)cc1)CC2,6.1249387366083,AJGWAABNSFMUOW-RVDMUPIBSA-N
CHEMBL459158,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,750.0,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,6.1249387366083,JGSPPIYFQDHZNR-UHFFFAOYSA-N
CHEMBL4791602,CC(=O)c1ccc(Nc2cc(C)nc3nc(SCc4nc5ccccc5[nH]4)nn23)cc1,760.0,CC(=O)c1ccc(Nc2cc(C)nc3nc(SCc4nc5ccccc5[nH]4)nn23)cc1,6.119186407719209,XWHDKXWIFAFCRE-UHFFFAOYSA-N
CHEMBL4637515,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4I)nc3)cc1)CC2,760.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)cc4I)nc3)cc1)CC2,6.119186407719209,QSHMQWFJAAJAKJ-RIYZIHGNSA-N
CHEMBL4634981,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)C3CC3c3ccc(Oc4ccc(-c5ccccn5)cc4)nc3)cc1)CC2,760.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)C3CC3c3ccc(Oc4ccc(-c5ccccn5)cc4)nc3)cc1)CC2,6.119186407719209,IAKQBYMBSKWIRL-UHFFFAOYSA-N
CHEMBL4089061,COc1cc(C(=O)NC(Cc2ccccc2)c2nc(C(=O)NC3CCC(F)(F)CC3)cs2)cc(OC)c1OC,760.0,COc1cc(C(=O)NC(Cc2ccccc2)c2nc(C(=O)NC3CCC(F)(F)CC3)cs2)cc(OC)c1OC,6.119186407719209,ZTTLKVKLPLIAMR-UHFFFAOYSA-N
